00001.jpg r:0.0001619747345102951, g:0.00014918678789399564, b:0.000136735470732674
00002.jpg r:7.257619290612638e-05, g:8.09753910289146e-05, b:9.619764023227617e-05
00003.jpg r:0.0001265025930479169, g:0.00014616645057685673, b:0.0001663345319684595
00004.jpg r:0.00010298853885615245, g:0.00010714949894463643, b:0.00010590439342195168
00005.jpg r:0.00011195541446795687, g:0.00013706494064535946, b:0.00016626475553493947
00006.jpg r:0.00043953931890428066, g:0.00043045944767072797, b:0.00044332703691907227
00008.jpg r:0.001080959802493453, g:0.0013541530352085829, b:0.0016828484367579222
00009.jpg r:0.00029705424094572663, g:0.0002848407602868974, b:0.0002893900091294199
00010.jpg r:7.055670721456409e-05, g:8.129393972922117e-05, b:0.00010272231884300709
00012.jpg r:0.0006525785429403186, g:0.0006781398551538587, b:0.0006762099219486117
00013.jpg r:5.6469551054760814e-05, g:5.4426338465418667e-05, b:5.567427433561534e-05
00014.jpg r:0.0006325994618237019, g:0.0005327786784619093, b:0.0005354810273274779
00015.jpg r:0.00016932279686443508, g:0.00016473988944198936, b:0.00018232950242236257
00016.jpg r:5.900539690628648e-05, g:6.166472303448245e-05, b:6.074510747566819e-05
00017.jpg r:0.00040741037810221314, g:0.0004166114376857877, b:0.00037621683441102505
00018.jpg r:0.00017786395619623363, g:0.00017868500435724854, b:0.0001912743755383417
00019.jpg r:0.00017206245684064925, g:0.0002340694481972605, b:0.00023741356562823057
00020.jpg r:0.0001562685501994565, g:0.00017496160580776632, b:0.00018092954996973276
00021.jpg r:8.970304043032229e-05, g:9.487041097600013e-05, b:7.660726259928197e-05
00022.jpg r:1.8887669284595177e-05, g:2.4789220333332196e-05, b:2.2235130018088967e-05
00023.jpg r:0.00031151785515248775, g:0.0003247489803470671, b:0.0003504537744447589
00024.jpg r:0.00011043840640923008, g:0.00013965507969260216, b:0.0001622000418137759
00025.jpg r:0.00017852222663350403, g:0.00017569135525263846, b:0.00017828083946369588
00026.jpg r:0.0003192737349309027, g:0.00023385667009279132, b:0.0002135723188985139
00027.jpg r:0.00023154207156039774, g:0.0003384149167686701, b:0.0005454300553537905
00028.jpg r:0.0004278808773960918, g:0.00044364415225572884, b:0.0004536641645245254
00029.jpg r:0.00017115173977799714, g:0.00018195639131590724, b:0.00020102151029277593
00030.jpg r:7.055670721456409e-05, g:8.129393972922117e-05, b:0.00010272231884300709
00031.jpg r:0.0007294745882973075, g:0.0007697645924054086, b:0.0008010423043742776
00032.jpg r:0.00017141748685389757, g:0.0001734312972985208, b:0.00017975972150452435
00033.jpg r:4.765945777762681e-05, g:5.284061626298353e-05, b:7.119947986211628e-05
00034.jpg r:0.00014815619215369225, g:0.00014423916582018137, b:0.00013715503155253828
00035.jpg r:2.767645855783485e-05, g:1.6924492229009047e-05, b:1.3987033526063897e-05
00036.jpg r:8.067282033152878e-05, g:4.949258436681703e-05, b:2.973359005409293e-05
00037.jpg r:0.0006525785429403186, g:0.0006781398551538587, b:0.0006762099219486117
00038.jpg r:8.47622868604958e-05, g:8.06348180049099e-05, b:8.960871491581202e-05
00040.jpg r:0.00022404652554541826, g:0.0002015504433074966, b:0.00019024904759135097
00041.jpg r:0.00014413826283998787, g:0.00017343310173600912, b:0.0002451447653584182
00042.jpg r:0.0006452893139794469, g:0.0005712269339710474, b:0.000519079330842942
00043.jpg r:0.0001611251209396869, g:0.0001618044771021232, b:0.00018392592028249055
00044.jpg r:0.00017786395619623363, g:0.00017868500435724854, b:0.0001912743755383417
00045.jpg r:5.570020221057348e-05, g:6.482561002485454e-05, b:7.622349949087948e-05
00046.jpg r:0.00030880438862368464, g:0.0003488223592285067, b:0.00037987681571394205
00047.jpg r:0.0002211046521551907, g:0.00025717311655171216, b:0.000300176499877125
00048.jpg r:0.0002047190791927278, g:0.0002013895136769861, b:0.00019331308430992067
00049.jpg r:0.00036300841020420194, g:0.00023820888600312173, b:0.00018276256741955876
00050.jpg r:5.25632276549004e-05, g:5.907747981837019e-05, b:6.912421667948365e-05
00051.jpg r:0.00017100392142310739, g:0.00022180909581948072, b:0.00030836809310130775
00052.jpg r:0.0001435464946553111, g:0.00014961781562305987, b:0.00015325361164286733
00053.jpg r:2.9302891562110744e-05, g:3.6349520087242126e-05, b:3.893760367645882e-05
00054.jpg r:0.00022062964853830636, g:0.00021808261226397008, b:0.00019975187024101615
00055.jpg r:0.00016957175103016198, g:0.00022563716629520059, b:0.00029023661045357585
00056.jpg r:0.0001339832815574482, g:0.00016775744734331965, b:0.00019329038332216442
00057.jpg r:0.00042620906606316566, g:0.0004968978464603424, b:0.0005531790666282177
00058.jpg r:0.00017904816195368767, g:0.0002220305905211717, b:0.00021934679534751922
00059.jpg r:0.00011447838187450543, g:0.0001266817416762933, b:0.0001303318131249398
00060.jpg r:0.00029007060220465064, g:0.00029476708732545376, b:0.0002843104302883148
00061.jpg r:0.0009494242840446532, g:0.00094181316671893, b:0.0009793792851269245
